baby_id,gender,combined_time,date,time,diaper_type
baby_1,male,"3/12/21, 4:19 PM",3/12/21, 4:19 PM,Dirty
baby_1,male,"3/12/21, 10:06 AM",3/12/21, 10:06 AM,Dirty
baby_1,male,"3/11/21, 5:48 PM",3/11/21, 5:48 PM,Dirty
baby_1,male,"3/11/21, 10:00 AM",3/11/21, 10:00 AM,Dirty
baby_1,male,"3/10/21, 3:06 PM",3/10/21, 3:06 PM,Dirty
baby_1,male,"3/10/21, 11:37 AM",3/10/21, 11:37 AM,Dirty
baby_1,male,"3/9/21, 9:30 AM",3/9/21, 9:30 AM,Wet
baby_1,male,"3/9/21, 6:34 AM",3/9/21, 6:34 AM,Dirty
baby_1,male,"3/8/21, 11:36 AM",3/8/21, 11:36 AM,Mixed
baby_1,male,"3/7/21, 1:47 PM",3/7/21, 1:47 PM,Dirty
baby_1,male,"3/5/21, 6:23 AM",3/5/21, 6:23 AM,Dirty
baby_1,male,"3/4/21, 6:16 PM",3/4/21, 6:16 PM,Dirty
baby_1,male,"3/4/21, 3:10 PM",3/4/21, 3:10 PM,Dirty
baby_1,male,"3/4/21, 10:30 AM",3/4/21, 10:30 AM,Dirty
baby_1,male,"3/3/21, 4:06 PM",3/3/21, 4:06 PM,Dirty
baby_1,male,"3/3/21, 12:28 PM",3/3/21, 12:28 PM,Dirty
baby_1,male,"3/3/21, 10:42 AM",3/3/21, 10:42 AM,Dirty
baby_1,male,"3/3/21, 8:25 AM",3/3/21, 8:25 AM,Dirty
baby_1,male,"3/2/21, 12:00 PM",3/2/21, 12:00 PM,Wet
baby_1,male,"3/1/21, 11:00 AM",3/1/21, 11:00 AM,Dirty
baby_1,male,"2/27/21, 1:55 PM",2/27/21, 1:55 PM,Dirty
baby_1,male,"2/25/21, 7:42 PM",2/25/21, 7:42 PM,Mixed
baby_1,male,"2/25/21, 9:49 AM",2/25/21, 9:49 AM,Wet
baby_1,male,"2/24/21, 11:04 AM",2/24/21, 11:04 AM,Dirty
baby_1,male,"2/23/21, 2:47 PM",2/23/21, 2:47 PM,Mixed
baby_1,male,"2/22/21, 11:47 AM",2/22/21, 11:47 AM,Dirty
baby_1,male,"2/21/21, 7:33 PM",2/21/21, 7:33 PM,Wet
baby_1,male,"2/21/21, 4:34 PM",2/21/21, 4:34 PM,Mixed
baby_1,male,"2/21/21, 10:49 AM",2/21/21, 10:49 AM,Mixed
baby_1,male,"2/19/21, 7:06 PM",2/19/21, 7:06 PM,Mixed
baby_1,male,"2/19/21, 1:28 PM",2/19/21, 1:28 PM,Mixed
baby_1,male,"2/19/21, 11:19 AM",2/19/21, 11:19 AM,Wet
baby_1,male,"2/19/21, 7:42 AM",2/19/21, 7:42 AM,Wet
baby_1,male,"2/18/21, 6:57 PM",2/18/21, 6:57 PM,Mixed
baby_1,male,"2/18/21, 11:00 AM",2/18/21, 11:00 AM,Dirty
baby_1,male,"2/17/21, 6:37 PM",2/17/21, 6:37 PM,Mixed
baby_1,male,"2/17/21, 10:00 AM",2/17/21, 10:00 AM,Wet
baby_1,male,"2/16/21, 7:35 PM",2/16/21, 7:35 PM,Mixed
baby_1,male,"2/16/21, 11:50 AM",2/16/21, 11:50 AM,Wet
baby_1,male,"2/15/21, 5:48 PM",2/15/21, 5:48 PM,Mixed
baby_1,male,"2/15/21, 5:54 AM",2/15/21, 5:54 AM,Wet
baby_1,male,"2/14/21, 5:54 PM",2/14/21, 5:54 PM,Mixed
baby_1,male,"2/14/21, 1:13 PM",2/14/21, 1:13 PM,Mixed
baby_1,male,"2/14/21, 7:55 AM",2/14/21, 7:55 AM,Mixed
baby_1,male,"2/13/21, 7:09 PM",2/13/21, 7:09 PM,Wet
baby_1,male,"2/13/21, 1:04 PM",2/13/21, 1:04 PM,Mixed
baby_1,male,"2/12/21, 5:54 PM",2/12/21, 5:54 PM,Wet
baby_1,male,"2/11/21, 10:32 AM",2/11/21, 10:32 AM,Mixed
baby_1,male,"2/10/21, 11:50 AM",2/10/21, 11:50 AM,Dirty
baby_1,male,"2/9/21, 7:16 PM",2/9/21, 7:16 PM,Wet
baby_1,male,"2/9/21, 2:26 PM",2/9/21, 2:26 PM,Wet
baby_1,male,"2/9/21, 8:15 AM",2/9/21, 8:15 AM,Mixed
baby_1,male,"2/8/21, 5:37 PM",2/8/21, 5:37 PM,Wet
baby_1,male,"2/8/21, 10:37 AM",2/8/21, 10:37 AM,Mixed
baby_1,male,"2/7/21, 6:47 PM",2/7/21, 6:47 PM,Mixed
baby_1,male,"2/6/21, 3:10 PM",2/6/21, 3:10 PM,Mixed
baby_1,male,"2/5/21, 8:05 PM",2/5/21, 8:05 PM,Wet
baby_1,male,"2/5/21, 10:43 AM",2/5/21, 10:43 AM,Mixed
